classification,Coin,Closed PnL
Extreme Greed,LDO,168.892297
Extreme Greed,LINK,109.90836
Extreme Greed,LOOM,215.057055
Extreme Greed,LTC,2422.714344
Extreme Greed,MANTA,1303.721216
Extreme Greed,MATIC,915.560676
Extreme Greed,MAVIA,1801.5562400000001
Extreme Greed,ME,24.280158
Extreme Greed,MELANIA,-18726.171999
Extreme Greed,MEME,3570.798514
Extreme Greed,MEW,28.063128
Extreme Greed,MNT,-21.057177
Extreme Greed,MOODENG,16083.882211
Extreme Greed,MORPHO,396.56499299999996
Extreme Greed,MOVE,11.3683
Extreme Greed,MYRO,51.19653
Extreme Greed,NEAR,12881.069498
Extreme Greed,NEIROETH,34.161578
Extreme Greed,NTRN,316.13639
Extreme Greed,ONDO,6754.784711
Extreme Greed,OP,2408.498068
Extreme Greed,ORDI,35.897842
Extreme Greed,PENDLE,1094.912296
Extreme Greed,PENGU,1341.682675
Extreme Greed,PEOPLE,360.646005
Extreme Greed,PIXEL,311.2
Extreme Greed,PNUT,2512.6175749999998
Extreme Greed,POLYX,618.133683
Extreme Greed,POPCAT,44.572378
Extreme Greed,PURR,18075.567600000002
Extreme Greed,PURR/USDC,77506.588413
Extreme Greed,PYTH,111.878376
Extreme Greed,RENDER,3966.776664
Extreme Greed,RNDR,3833.690372
Extreme Greed,RSR,5.303512
Extreme Greed,RUNE,1042.127844
Extreme Greed,SAND,1128.957861
Extreme Greed,SCR,1612.97536
Extreme Greed,SEI,0.00345
Extreme Greed,SOL,37715.928639
Extreme Greed,SPX,65.39521
Extreme Greed,STRK,86.688835
Extreme Greed,STX,1535.891106
Extreme Greed,SUI,23252.772656
Extreme Greed,SUPER,20.992058
Extreme Greed,SUSHI,320.483655
Extreme Greed,TAO,2468.014121
Extreme Greed,TIA,2465.9334949999998
Extreme Greed,TNSR,1845.5877580000001
Extreme Greed,TON,-0.15074600000000027
Extreme Greed,TRUMP,-2589.7278620000006
Extreme Greed,TRX,670.1615039999999
Extreme Greed,TURBO,7623.480459
Extreme Greed,UNI,-39.785359
Extreme Greed,USTC,13.354154999999999
Extreme Greed,USUAL,6464.589204
Extreme Greed,VINE,4.9096079999999995
Extreme Greed,VIRTUAL,16012.935511
Extreme Greed,W,294.885312
Extreme Greed,WIF,11462.282016
Extreme Greed,WLD,16762.504226
Extreme Greed,XAI,1074.213807
Extreme Greed,XRP,-51.90063300000001
Extreme Greed,YGG,30.012384
Extreme Greed,ZEREBRO,9642.264996
Extreme Greed,ZETA,2472.6162209999998
Extreme Greed,ZK,98.011093
Extreme Greed,ZRO,359.03149
Extreme Greed,kBONK,36700.494102
Extreme Greed,kFLOKI,1556.721213
Extreme Greed,kPEPE,20930.683155
Extreme Greed,kSHIB,264.9663
Fear,@1,0.0
Fear,@10,0.0
Fear,@107,-12514.843273999999
Fear,@109,0.0
Fear,@11,0.0
Fear,@13,0.0
Fear,@138,31.42038
Fear,@14,0.0
Fear,@142,461.1217320000001
Fear,@15,0.0
Fear,@151,-44.712482
Fear,@152,0.599998
Fear,@153,0.577077
Fear,@16,0.0
Fear,@20,0.0
Fear,@23,0.0
Fear,@26,0.0
Fear,@28,0.0
Fear,@29,0.0
Fear,@3,0.0
Fear,@30,0.0
Fear,@35,0.0
Fear,@37,0.0
Fear,@38,0.0
Fear,@39,0.0
Fear,@4,1630.965841
Fear,@40,0.0
Fear,@41,0.0
Fear,@44,0.0
Fear,@45,0.0
Fear,@46,0.0
Fear,@47,0.0
Fear,@48,0.0
Fear,@49,0.0
Fear,@51,-288.283113
Fear,@53,0.0
Fear,@59,0.0
Fear,@61,0.0
Fear,@78,0.0
Fear,@8,111.74482900000001
Fear,@85,0.0
Fear,AAVE,3163.387833
Fear,ADA,1700.115697
Fear,AI,37.269836
Fear,AI16Z,1957.792621
Fear,AIXBT,10367.247059
