classification,total_trades,avg_closed_pnl,total_closed_pnl,avg_trade_size_usd,total_trade_size_usd,avg_fee
Extreme Fear,21400,34.53786207897196,739110.24849,5349.7318429906545,114484261.44,1.116291305578827
Extreme Greed,39992,67.89286133909282,2715171.310673,3112.2515645629123,124465164.57,0.6759018169921485
Fear,61837,54.2903996254993,3357155.441642,7816.109930785776,483324789.79,1.495171962969659
Greed,50303,42.74355948851957,2150129.272951,5736.884375086974,288582494.72,1.254372343183673
Neutral,37686,34.30771839807886,1292920.67555,4782.732661465797,180242063.08,1.044798288591806
