classification,Profitable,Win Rate %
Extreme Fear,0.370607476635514,37.0607476635514
Extreme Greed,0.46494298859771954,46.49429885977195
Fear,0.42076750165758364,42.07675016575836
Greed,0.38482794266743536,38.48279426674354
Neutral,0.3969909250119408,39.69909250119408
