Feature,Importance
Execution Price,0.2740607484657137
Side,0.24700405500467498
Coin,0.18558142434525202
Fee,0.11249237641346896
Size Tokens,0.0730427289554183
Size USD,0.05622027452787342
classification,0.051598392287598674
